,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID,Product_ID
434,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,172.0,108000.0,5,44000.0,20.0,2023-03-24,Coffee,C,17,C17
435,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Bơ dưỡng thể cà phê 200ml TẶNG Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,340.0,759.0,"4,9",241.0,,2023-03-25,Coffee,C,16,C16
436,[Mã COSCN12 giảm 8%] Combo làm sạch da chết và dưỡng ẩm cơ thể từ cà phê Đắk Lắk Cocoon,323.0,16000.0,5,600.0,,2023-03-25,Coffee,C,19,C19
437,SPECIAL DEAL cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml - Tặng tẩy da chết môi cà phê Đắk Lắk Cocoon 5g  Giảm 8,325.0,72000.0,"4,9",26000.0,,2023-03-25,Coffee,C,13,C13
438,Combo Sáng Mịn Sạch Mụn: 1 Gel tắm bí đao Cocoon 310ml + 1 Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 200ml,351.0,14000.0,"4,9",483.0,,2023-03-25,Coffee,C,3,C3
439,Combo 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,250.0,68.0,"4,8",19.0,,2023-03-25,Coffee,C,2,C2
440,SPECIAL COMBO Gel rửa mặt cà phê 140ml+Tẩy da chết mặt cà phê 150ml tặng Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml,360.0,49.0,5,13.0,,2023-03-25,Coffee,C,10,C10
441,SPECIAL COMBO 2 Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon 200ml tặng Nước tẩy trang bí đao Cocoon 140ml,250.0,66.0,"4,9",17.0,,2023-03-25,Coffee,C,9,C9
442,Bigsize - Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 310ml,295.0,134.0,"4,9",36.0,,2023-03-25,Coffee,C,1,C1
443,Gel rửa mặt cà phê Đắk Lắk Cocoon cho làn da tươi mới và rạng rỡ 140ml,195.0,974.0,"4,9",301.0,,2023-03-25,Coffee,C,4,C4
444,[Mã COSCN12 giảm 8%] Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,75.0,209000.0,5,83000.0,,2023-03-25,Coffee,C,21,C21
445,TÚI REFILL - Cà phê Đắk Lắk làm sạch da chết cơ thể Cocoon 600ml,325.0,93000.0,"4,9",27000.0,,2023-03-25,Coffee,C,15,C15
446,[Mã COSCN12 giảm 8%] Tẩy da chết cơ thể cà phê Đắk Lắk Cocoon cho làn da mềm mại và rạng rỡ 200ml,125.0,1239000.0,5,454000.0,,2023-03-25,Coffee,C,20,C20
447,[Mã COSCN12 giảm 8%] Tẩy da chết mặt cà phê Đắk Lắk Cocoon cho làn da mềm mại & rạng rỡ 150ml,165.0,633000.0,"4,9",241000.0,,2023-03-25,Coffee,C,22,C22
448,SPECIAL COMBO tẩy da chết cà phê Đắk Lắk Cocoon Tặng tẩy da chết môi cà phê Đắk Lắk 5g,290.0,149000.0,5,6000.0,,2023-03-25,Coffee,C,11,C11
449,[Mã COSCN12 giảm 8%] Bơ dưỡng thể cà phê Đắk Lắk Cocoon cho da mềm mịn & rạng rỡ 200ml,215.0,108000.0,5,44000.0,,2023-03-25,Coffee,C,17,C17
