,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
888,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",,199.0,"4,8",73.0,,2023-03-11,Rose,R,13
889,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,,38000.0,"4,9",14000.0,,2023-03-11,Rose,R,20
890,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,16000.0,5,66000.0,,2023-03-11,Rose,R,19
920,[Mã COSCN12 giảm 8%] Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 140ml,145.0,17000.0,"4,9",677.0,,2023-03-12,Rose,R,18
921,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,76000.0,5,31000.0,,2023-03-12,Rose,R,16
922,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,257.0,"4,9",76.0,,2023-03-12,Rose,R,6
923,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",390.0,509.0,"4,9",210.0,,2023-03-12,Rose,R,5
924,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,622.0,123.0,5,47.0,,2023-03-12,Rose,R,11
925,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,67000.0,"4,9",25000.0,,2023-03-12,Rose,R,9
926,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",945.0,200.0,"4,8",73.0,,2023-03-12,Rose,R,13
927,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-03-12,Rose,R,15
928,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,55000.0,"4,9",19000.0,,2023-03-12,Rose,R,14
929,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,622.0,695.0,5,286.0,,2023-03-12,Rose,R,12
930,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,195.0,127000.0,5,47000.0,,2023-03-12,Rose,R,17
931,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,38000.0,"4,9",14000.0,,2023-03-12,Rose,R,20
932,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,16000.0,5,66000.0,,2023-03-12,Rose,R,19
976,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,293.25,21000.0,5,773.0,15.0,2023-03-13,Rose,R,7
977,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,257.0,"4,9",76.0,,2023-03-13,Rose,R,6
978,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,76000.0,5,31000.0,,2023-03-13,Rose,R,16
979,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,67000.0,"4,9",25000.0,,2023-03-13,Rose,R,9
980,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",390.0,511.0,"4,9",211.0,,2023-03-13,Rose,R,5
981,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,622.0,123.0,5,47.0,,2023-03-13,Rose,R,11
982,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,56000.0,"4,9",19000.0,,2023-03-13,Rose,R,14
983,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",945.0,201.0,"4,8",73.0,,2023-03-13,Rose,R,13
984,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-03-13,Rose,R,15
985,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,323.0,250.0,5,90.0,,2023-03-13,Rose,R,10
986,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,86000.0,"4,9",31000.0,,2023-03-13,Rose,R,8
987,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,622.0,695.0,5,286.0,,2023-03-13,Rose,R,12
988,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,195.0,127000.0,5,47000.0,,2023-03-13,Rose,R,17
989,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,38000.0,"4,9",14000.0,,2023-03-13,Rose,R,20
990,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,16000.0,5,66000.0,,2023-03-13,Rose,R,19
1030,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,21000.0,5,775.0,,2023-03-14,Rose,R,7
1031,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,261.0,"4,9",77.0,,2023-03-14,Rose,R,6
1032,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,76000.0,5,31000.0,,2023-03-14,Rose,R,16
1033,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,622.0,124.0,5,48.0,,2023-03-14,Rose,R,11
1034,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,56000.0,"4,9",19000.0,,2023-03-14,Rose,R,14
1035,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,323.0,250.0,5,90.0,,2023-03-14,Rose,R,10
1036,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,67000.0,"4,9",25000.0,,2023-03-14,Rose,R,9
1037,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",945.0,202.0,"4,8",73.0,,2023-03-14,Rose,R,13
1038,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-03-14,Rose,R,15
1039,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,87000.0,"4,9",32000.0,,2023-03-14,Rose,R,8
1040,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,622.0,698.0,5,287.0,,2023-03-14,Rose,R,12
1041,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,195.0,127000.0,5,47000.0,,2023-03-14,Rose,R,17
1042,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,161000.0,5,66000.0,,2023-03-14,Rose,R,19
1088,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,293.25,21000.0,5,776.0,15.0,2023-03-15,Rose,R,7
1089,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",370.0,511.0,"4,9",211.0,5.0,2023-03-15,Rose,R,5
1090,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,195.0,263.0,"4,9",77.0,43.0,2023-03-15,Rose,R,6
1091,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,274.55,250.0,5,90.0,15.0,2023-03-15,Rose,R,10
1092,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,528.7,126.0,5,49.0,15.0,2023-03-15,Rose,R,11
1093,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,123.25,76000.0,5,31000.0,15.0,2023-03-15,Rose,R,16
